dataset_label,dataset_session,dataset_row_index,dataset_manual_lap_count,dataset_manual_lap_marked,dataset_manual_lap_mark_at_ms,dataset_manual_lap_mark_age_ms,timestamp_unix_ms,uptime_ms,state,local_mode,local_mode_candidate,ai_source,ai_track_mode,line_pos,line_lost,lost_ms,balance_lr,confidence_fast,confidence_avg,sensor_sum,sensor_max,norm0,norm1,norm2,norm3,raw0,raw1,raw2,raw3,pos_norm,trend_pos,trend_pos_avg,curve_intensity,pid_error,pid_integral,pid_d_filt,pid_correction,motor_a_pwm,motor_b_pwm,base_eff,ai_confidence,ai_blend,ai_speed_factor,ai_kp_scale,ai_ki_scale,ai_kd_scale,ai_pivot_threshold,ai_pivot_cap,ai_recovery_bias,dominant_sensor,dataset_label_age_ms,dataset_label_set_at_ms,dataset_label_source,dataset_label_valid,drive_profile,intersection_active,intersection_score,last_dir,run_elapsed_ms,run_intersection_count,run_lap_estimate,seq_fast,seq_slow,timestamp_valid
straight,session_20260423_145902,49,,,,,1776977951000,299837,running,right_hard,right_hard,heuristic,straight,837,0,0,0.82772,0.879589,0.879589,1544,751,6,127,751,660,0,0,0,0,0.558,0.124,0.075444,0.566287,0.558,0.027695,9.630497,1.25,137,-60,61,0.909325,0.58,0,0,0,0,0,0,0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.129135,right,8255,4,0,2201,0,1
curve,session_20260423_145902,50,,,,,1776977951000,300086,running,straight,straight,heuristic,left_soft,-46,0,0,-0.063691,0.886528,0.886528,1837,919,58,919,829,31,0,0,0,0,-0.030667,-0.014667,-0.000667,0.066434,-0.030667,0.031503,-1.620855,-0.560741,60,160,103,0.885458,0.58,0,0,0,0,0,0,-0.25,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.294332,left,8505,4,0,2202,0,1
straight,session_20260423_145902,51,,,,,1776977951000,300338,running,straight,straight,heuristic,straight,-14,0,0,-0.021797,0.962783,0.962783,1881,911,50,911,876,44,0,0,0,0,-0.009333,-0.002667,0.002667,0.039542,-0.009333,0.004074,0.828538,0.25793,137,81,109,0.954276,0.58,0,0,0,0,0,0,-0.25,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.314339,left,8757,4,0,2203,0,1
straight,session_20260423_145902,52,,,,,1776977952000,300588,running,straight,straight,heuristic,straight,66,0,0,0.07191,0.909531,0.909531,1780,884,16,810,884,70,0,0,0,0,0.044,0.010667,-0.003111,0.007945,0.044,0.011367,0.011969,0.019433,109,105,107,0.92641,0.58,0,0,0,0,0,0,0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.284143,right,9007,4,0,2204,0,1
curve,session_20260423_145902,53,,,,,1776977952000,300839,running,straight,straight,heuristic,right_hard,-53,0,0,-0.092308,0.971033,0.971033,1820,937,57,937,782,44,0,0,0,0,-0.035333,-0.015333,-0.006111,0.155162,-0.035333,0.087295,-3.512384,-1.25,0,191,85,0.877625,0.58,0,0,0,0,0,0,0.370624,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.281715,left,9257,4,0,2205,0,1
curve,session_20260423_145902,54,,,,,1776977952000,301088,running,left_hard,left_hard,heuristic,left_hard,-1356,0,0,-0.905855,0.749969,0.749969,871,809,809,21,19,22,0,0,0,0,-0.904,-0.003333,-0.001778,0.020778,-0.904,0.002202,-0.412783,-0.543201,60,66,43,0.728577,0.58,0,0,0,0,0,0,-0.360874,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.111354,left,9507,4,0,2206,0,1
curve,session_20260423_145902,55,,,,,1776977952000,301339,running,left_soft,right_soft,heuristic,left_hard,98,0,0,0.059635,0.939014,0.939014,2029,927,27,927,908,167,0,0,0,0,0.065333,0.026,0.014778,0.33301,0.065333,-0.008048,7.438575,1.25,171,0,76,0.848035,0.58,0,0,0,0,0,0,-0.25,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.294294,right,9758,4,0,2208,0,1
straight,session_20260423_145902,56,,,,,1776977953000,301591,running,straight,straight,heuristic,straight,22,0,0,0.031212,0.889603,0.889603,1666,832,16,791,832,27,0,0,0,0,0.014667,0.006667,0.003,0.085295,0.014667,0.013262,1.952373,0.618573,173,60,107,0.937993,0.58,0,0,0,0,0,0,0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.296557,right,10010,4,0,2209,0,1
straight,session_20260423_145902,57,,,,,1776977953000,301843,running,straight,straight,heuristic,straight,-25,0,0,-0.050967,0.887731,0.887731,1707,874,23,874,787,23,0,0,0,0,-0.016667,-0.000667,-0.004667,0.059675,-0.016667,0.009572,-1.211883,-0.382935,67,149,108,0.937146,0.58,0,0,0,0,0,0,-0.25,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.292158,left,10262,4,0,2210,0,1
straight,session_20260423_145902,58,,,,,1776977953000,302094,running,straight,straight,heuristic,straight,126,0,0,0.186136,0.875053,0.875053,1558,846,26,608,846,78,0,0,0,0,0.084,0.002,-0.007,0.105168,0.084,0.018155,-2.209206,-0.682434,60,169,101,0.894279,0.58,0,0,0,0,0,0,0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.224638,right,10513,4,0,2211,0,1
